task_id,project_id,account_id,assigned_user_id,created_date,completed_date,status
T30093,P20007,A1002,U10006,2025-10-29,2025-11-18,Completed
T30094,P20007,A1002,U10008,2025-12-03,2025-12-11,Completed
T30095,P20007,A1002,U10005,2025-10-28,2025-11-08,Completed
T30096,P20007,A1002,U10009,2026-01-11,2026-01-31,Completed
T30097,P20007,A1002,U10018,2025-11-08,2025-11-09,Completed
T30098,P20008,A1002,U10004,2025-12-17,2026-01-06,Completed
T30099,P20008,A1002,U10016,2025-12-06,,In Progress
T30100,P20008,A1002,U10015,2026-01-28,,In Progress
T30101,P20008,A1002,U10014,2026-01-25,2026-02-01,Completed
T30102,P20008,A1002,U10008,2025-12-21,2026-01-10,Completed
T30103,P20008,A1002,U10012,2025-11-08,2025-11-11,Completed
T30104,P20008,A1002,U10017,2025-10-28,2025-11-03,Completed
T30105,P20008,A1002,U10016,2025-12-28,2025-12-30,Completed
T30106,P20008,A1002,U10014,2025-11-13,2025-12-01,Completed
T30107,P20008,A1002,U10017,2025-11-25,,In Progress
T30108,P20008,A1002,U10014,2026-01-02,2026-01-16,Completed
T30109,P20008,A1002,U10017,2025-10-29,2025-10-29,Completed
T30110,P20008,A1002,U10007,2026-01-25,,In Progress
T30111,P20008,A1002,U10010,2025-12-10,2025-12-13,Completed
T30112,P20008,A1002,U10006,2026-02-15,2026-02-28,Completed
T30113,P20008,A1002,U10012,2026-01-24,2026-01-28,Completed
T30114,P20008,A1002,U10017,2025-12-28,2025-12-30,Completed
T30115,P20009,A1002,U10012,2025-10-31,2025-11-12,Completed
T30116,P20009,A1002,U10010,2025-10-13,2025-10-16,Completed
T30117,P20009,A1002,U10003,2025-10-15,2025-10-25,Completed
T30118,P20009,A1002,U10007,2025-11-18,,In Progress
T30119,P20009,A1002,U10018,2026-01-22,2026-01-31,Completed
T30120,P20009,A1002,U10005,2025-10-19,2025-10-31,Completed
T30121,P20009,A1002,U10008,2026-01-09,2026-01-13,Completed
T30122,P20009,A1002,U10004,2025-12-23,,Open
T30123,P20009,A1002,U10008,2025-12-27,2025-12-31,Completed
T30124,P20009,A1002,U10012,2025-10-10,,Open
T30125,P20009,A1002,U10011,2025-12-08,2025-12-26,Completed
T30126,P20009,A1002,U10008,2025-10-03,2025-10-22,Completed
T30127,P20009,A1002,U10013,2025-12-24,2025-12-29,Completed
T30128,P20009,A1002,U10011,2025-11-27,2025-12-08,Completed
T30129,P20009,A1002,U10012,2026-01-02,2026-01-08,Completed
T30130,P20009,A1002,U10015,2025-12-21,,In Progress
T30131,P20009,A1002,U10008,2026-01-05,2026-01-09,Completed
T30132,P20009,A1002,U10007,2026-01-27,2026-02-09,Completed
T30133,P20009,A1002,U10007,2025-12-19,,Open
T30134,P20009,A1002,U10010,2025-12-28,2026-01-11,Completed
T30135,P20009,A1002,U10006,2026-01-20,2026-01-26,Completed
T30136,P20009,A1002,U10016,2025-10-13,,In Progress
T30137,P20009,A1002,U10013,2026-01-24,,In Progress
T30138,P20010,A1002,U10017,2025-09-26,,Open
T30139,P20010,A1002,U10015,2025-10-01,2025-10-04,Completed
T30140,P20010,A1002,U10004,2025-11-28,2025-12-10,Completed
T30141,P20010,A1002,U10018,2025-10-28,,In Progress
T30142,P20010,A1002,U10016,2025-11-07,2025-11-17,Completed
T30143,P20010,A1002,U10014,2025-12-24,,In Progress
T30144,P20010,A1002,U10009,2025-10-01,2025-10-08,Completed
T30145,P20010,A1002,U10011,2025-10-19,2025-11-08,Completed
T30146,P20010,A1002,U10013,2025-09-24,2025-10-01,Completed
T30147,P20010,A1002,U10004,2025-11-23,2025-12-12,Completed
T30148,P20010,A1002,U10018,2025-11-29,2025-12-18,Completed
T30149,P20010,A1002,U10007,2025-10-20,,In Progress
T30150,P20010,A1002,U10012,2025-12-22,2025-12-22,Completed
T30151,P20010,A1002,U10003,2025-12-31,2026-01-09,Completed
T30152,P20010,A1002,U10012,2025-10-10,,Open
T30153,P20010,A1002,U10010,2025-11-19,2025-12-08,Completed
T30154,P20010,A1002,U10015,2025-11-18,2025-11-24,Completed
T30155,P20011,A1002,U10016,2025-11-20,2025-12-02,Completed
T30156,P20011,A1002,U10018,2025-09-23,2025-10-13,Completed
T30157,P20011,A1002,U10018,2025-08-23,2025-08-30,Completed
T30158,P20011,A1002,U10013,2025-10-19,2025-10-31,Completed
T30159,P20011,A1002,U10011,2025-08-31,2025-09-07,Completed
T30160,P20012,A1002,U10018,2025-11-08,2025-11-28,Completed
T30161,P20012,A1002,U10011,2025-11-21,2025-11-23,Completed
T30162,P20012,A1002,U10015,2025-11-12,2025-11-12,Completed
T30163,P20012,A1002,U10005,2025-10-22,2025-11-01,Completed
T30164,P20012,A1002,U10009,2025-09-22,2025-10-04,Completed
T30165,P20012,A1002,U10006,2025-12-25,2026-01-12,Completed
T30166,P20012,A1002,U10010,2025-10-29,2025-11-09,Completed
T30167,P20012,A1002,U10018,2025-11-14,2025-11-19,Completed
T30168,P20012,A1002,U10008,2025-12-12,,Open
T30169,P20012,A1002,U10018,2025-11-05,,Open
T30170,P20012,A1002,U10013,2025-12-13,2025-12-15,Completed
T30171,P20012,A1002,U10004,2025-09-08,2025-09-26,Completed
T30172,P20012,A1002,U10004,2025-09-14,,Open
T30173,P20012,A1002,U10012,2025-09-07,2025-09-15,Completed
T30174,P20012,A1002,U10013,2025-10-03,2025-10-04,Completed
T30175,P20012,A1002,U10007,2026-01-02,2026-01-03,Completed
T30176,P20012,A1002,U10013,2025-12-16,,In Progress
T30177,P20012,A1002,U10008,2025-10-26,2025-11-11,Completed
T30178,P20012,A1002,U10009,2025-10-12,2025-11-01,Completed
T30179,P20012,A1002,U10015,2025-12-06,2025-12-22,Completed
T30180,P20012,A1002,U10003,2025-12-13,2025-12-26,Completed
T30181,P20012,A1002,U10013,2025-10-30,2025-11-11,Completed
T30182,P20012,A1002,U10010,2025-09-16,2025-10-06,Completed
T30183,P20012,A1002,U10012,2025-11-13,2025-11-30,Completed
T30184,P20012,A1002,U10007,2025-11-23,2025-11-27,Completed
T30185,P20012,A1002,U10014,2025-10-11,,In Progress
T30186,P20012,A1002,U10009,2025-09-16,,Open
T30187,P20012,A1002,U10005,2025-10-15,,In Progress
T30188,P20012,A1002,U10006,2025-09-16,2025-10-02,Completed
T30189,P20012,A1002,U10013,2026-01-01,2026-01-07,Completed
T30190,P20012,A1002,U10005,2025-12-18,2025-12-22,Completed
T30191,P20012,A1002,U10017,2025-11-13,2025-11-23,Completed
T30192,P20012,A1002,U10011,2025-10-26,2025-11-13,Completed
T30193,P20013,A1002,U10005,2025-12-20,2026-01-09,Completed
T30194,P20013,A1002,U10008,2025-12-26,2026-01-15,Completed
T30195,P20013,A1002,U10015,2025-10-08,,Open
T30196,P20013,A1002,U10007,2025-11-08,2025-11-21,Completed
T30197,P20013,A1002,U10015,2026-01-01,,Open
T30198,P20013,A1002,U10003,2026-01-16,,In Progress
T30199,P20013,A1002,U10016,2025-10-30,2025-10-31,Completed
T30200,P20013,A1002,U10011,2025-10-31,2025-11-02,Completed
T30201,P20013,A1002,U10016,2026-01-26,,In Progress
T30202,P20013,A1002,U10004,2025-11-24,2025-11-27,Completed
T30203,P20013,A1002,U10015,2025-11-27,,In Progress
T30204,P20014,A1002,U10010,2025-09-29,2025-10-18,Completed
T30205,P20014,A1002,U10010,2025-07-20,2025-07-29,Completed
T30206,P20014,A1002,U10008,2025-10-06,2025-10-11,Completed
T30207,P20014,A1002,U10015,2025-07-28,,Open
T30208,P20014,A1002,U10015,2025-07-14,2025-07-18,Completed
T30209,P20014,A1002,U10012,2025-10-10,,In Progress
T30210,P20014,A1002,U10016,2025-07-14,,Open
T30211,P20014,A1002,U10010,2025-08-02,2025-08-17,Completed
T30212,P20014,A1002,U10014,2025-08-26,2025-09-11,Completed
T30213,P20014,A1002,U10004,2025-09-17,2025-09-25,Completed
T30214,P20014,A1002,U10009,2025-08-03,2025-08-14,Completed
T30215,P20014,A1002,U10009,2025-07-29,2025-08-06,Completed
T30216,P20014,A1002,U10009,2025-10-14,,Open
T30217,P20014,A1002,U10012,2025-11-03,2025-11-06,Completed
T30218,P20014,A1002,U10011,2025-10-19,2025-10-19,Completed
T30219,P20014,A1002,U10018,2025-08-24,2025-09-06,Completed
T30220,P20014,A1002,U10010,2025-08-16,2025-09-01,Completed
T30221,P20014,A1002,U10016,2025-07-21,2025-07-29,Completed
T30222,P20014,A1002,U10010,2025-10-12,2025-10-30,Completed
T30223,P20014,A1002,U10018,2025-10-01,,In Progress
T30224,P20014,A1002,U10014,2025-07-22,2025-08-06,Completed
T30225,P20014,A1002,U10004,2025-09-09,2025-09-25,Completed
T30226,P20014,A1002,U10016,2025-08-28,,In Progress
T30227,P20014,A1002,U10007,2025-07-20,2025-08-04,Completed
T30228,P20014,A1002,U10018,2025-10-30,2025-11-17,Completed
T30229,P20014,A1002,U10003,2025-08-03,2025-08-14,Completed
T30230,P20014,A1002,U10003,2025-08-02,,Open
T30231,P20014,A1002,U10007,2025-08-14,2025-08-17,Completed
T30232,P20014,A1002,U10014,2025-11-04,2025-11-22,Completed
T30233,P20014,A1002,U10017,2025-10-07,2025-10-10,Completed
T30234,P20014,A1002,U10005,2025-08-11,2025-08-27,Completed
T30235,P20014,A1002,U10018,2025-07-13,2025-07-14,Completed
T30236,P20014,A1002,U10016,2025-10-30,2025-10-30,Completed
T30237,P20014,A1002,U10010,2025-08-13,,Open
T30238,P20014,A1002,U10005,2025-07-18,2025-08-02,Completed
T30239,P20014,A1002,U10013,2025-08-28,,Open
T30240,P20014,A1002,U10015,2025-08-31,2025-09-04,Completed
T30241,P20014,A1002,U10015,2025-08-04,2025-08-05,Completed
T30242,P20014,A1002,U10005,2025-09-21,,In Progress
T30243,P20014,A1002,U10005,2025-10-23,2025-11-12,Completed
T30244,P20014,A1002,U10017,2025-09-04,2025-09-11,Completed
T30245,P20014,A1002,U10016,2025-08-23,2025-08-30,Completed
T30246,P20014,A1002,U10012,2025-09-04,,In Progress
T30247,P20014,A1002,U10015,2025-11-07,2025-11-17,Completed
T30248,P20014,A1002,U10003,2025-08-16,2025-08-18,Completed
T30249,P20014,A1002,U10006,2025-09-24,,In Progress
T30250,P20014,A1002,U10016,2025-08-29,2025-09-01,Completed
T30251,P20014,A1002,U10013,2025-09-15,2025-09-16,Completed
T30252,P20014,A1002,U10005,2025-08-04,2025-08-11,Completed
T30253,P20014,A1002,U10012,2025-10-23,2025-11-08,Completed
T30254,P20014,A1002,U10011,2025-07-18,2025-07-30,Completed
T30255,P20014,A1002,U10014,2025-07-21,,In Progress
T30256,P20015,A1002,U10009,2025-11-06,2025-11-20,Completed
T30257,P20015,A1002,U10013,2025-11-04,2025-11-13,Completed
T30258,P20015,A1002,U10007,2025-10-24,2025-11-02,Completed
T30259,P20015,A1002,U10009,2025-08-27,,Open
T30260,P20015,A1002,U10013,2025-07-28,2025-08-14,Completed
T30261,P20015,A1002,U10013,2025-09-13,,In Progress
T30262,P20015,A1002,U10015,2025-07-18,,In Progress
T30263,P20015,A1002,U10009,2025-09-02,,Open
T30264,P20015,A1002,U10017,2025-08-11,2025-08-20,Completed
T30265,P20015,A1002,U10005,2025-09-27,,In Progress
T30266,P20015,A1002,U10010,2025-10-25,2025-11-03,Completed
T30267,P20015,A1002,U10005,2025-10-19,,In Progress
T30268,P20015,A1002,U10016,2025-10-04,2025-10-11,Completed
T30269,P20015,A1002,U10006,2025-09-14,2025-09-25,Completed
T30270,P20015,A1002,U10015,2025-09-30,2025-10-15,Completed
T30271,P20015,A1002,U10010,2025-10-23,2025-10-29,Completed
T30272,P20015,A1002,U10007,2025-10-18,2025-11-04,Completed
T30273,P20015,A1002,U10005,2025-10-22,2025-10-29,Completed
T30274,P20015,A1002,U10009,2025-08-05,2025-08-05,Completed
T30275,P20015,A1002,U10017,2025-11-13,2025-11-26,Completed
T30276,P20015,A1002,U10006,2025-07-20,2025-07-27,Completed
T30277,P20015,A1002,U10008,2025-09-24,2025-10-05,Completed
T30278,P20015,A1002,U10016,2025-10-06,2025-10-06,Completed
T30279,P20016,A1002,U10016,2025-10-21,2025-10-21,Completed
T30280,P20016,A1002,U10017,2025-12-15,,In Progress
T30281,P20016,A1002,U10009,2025-12-02,2025-12-14,Completed
T30282,P20016,A1002,U10008,2025-12-26,2026-01-04,Completed
T30283,P20016,A1002,U10018,2025-09-22,2025-09-28,Completed
T30284,P20016,A1002,U10014,2025-11-15,2025-11-22,Completed
T30285,P20016,A1002,U10012,2025-11-01,2025-11-16,Completed
T30286,P20016,A1002,U10006,2025-09-16,2025-09-20,Completed
T30287,P20016,A1002,U10007,2025-12-09,2025-12-17,Completed
T30288,P20016,A1002,U10008,2025-09-20,2025-09-21,Completed
T30289,P20016,A1002,U10017,2026-01-04,2026-01-11,Completed
T30290,P20016,A1002,U10015,2026-01-01,2026-01-17,Completed
T30291,P20016,A1002,U10017,2025-10-31,2025-11-11,Completed
T30292,P20016,A1002,U10010,2025-11-06,2025-11-08,Completed
T30293,P20016,A1002,U10008,2025-11-22,2025-11-25,Completed
T30294,P20016,A1002,U10006,2025-11-12,2025-11-16,Completed
T30295,P20016,A1002,U10004,2025-11-29,,In Progress
T30296,P20017,A1003,U10019,2026-02-11,,In Progress
T30297,P20017,A1003,U10020,2025-12-19,,Open
T30298,P20017,A1003,U10021,2025-11-08,,Open
T30299,P20017,A1003,U10019,2026-01-13,,In Progress
T30300,P20017,A1003,U10019,2026-01-10,2026-01-11,Completed
T30301,P20018,A1003,U10021,2025-10-28,,In Progress
T30302,P20018,A1003,U10020,2025-11-26,,Open
T30303,P20018,A1003,U10021,2025-09-19,2025-09-26,Completed
T30304,P20018,A1003,U10021,2025-10-10,2025-10-18,Completed
T30305,P20018,A1003,U10021,2025-12-20,2025-12-30,Completed
T30306,P20019,A1003,U10021,2026-01-02,,In Progress
T30307,P20019,A1003,U10019,2025-12-17,2025-12-29,Completed
T30308,P20019,A1003,U10021,2025-12-04,2025-12-14,Completed
T30309,P20019,A1003,U10019,2025-10-16,2025-10-30,Completed
T30310,P20019,A1003,U10020,2025-10-10,,In Progress
T30311,P20019,A1003,U10021,2025-10-05,,Open
T30312,P20020,A1003,U10020,2025-10-18,,Open
T30313,P20020,A1003,U10019,2026-02-06,,Open
T30314,P20020,A1003,U10020,2025-11-03,2025-11-07,Completed
T30315,P20020,A1003,U10021,2026-01-16,2026-02-03,Completed
T30316,P20020,A1003,U10019,2025-10-22,,Open
T30317,P20020,A1003,U10021,2025-10-28,2025-10-31,Completed
T30318,P20020,A1003,U10019,2025-10-30,2025-11-13,Completed
T30319,P20020,A1003,U10020,2025-12-07,2025-12-17,Completed
T30320,P20020,A1003,U10021,2025-11-30,,In Progress
T30321,P20020,A1003,U10019,2025-10-24,2025-11-10,Completed
T30322,P20020,A1003,U10021,2025-11-23,2025-11-29,Completed
T30323,P20020,A1003,U10019,2025-12-05,,In Progress
T30324,P20021,A1003,U10019,2025-09-04,,Open
T30325,P20021,A1003,U10020,2025-09-24,,Open
T30326,P20021,A1003,U10019,2025-08-29,,In Progress
T30327,P20021,A1003,U10020,2025-11-13,2025-11-16,Completed
T30328,P20021,A1003,U10021,2025-08-07,,In Progress
T30329,P20021,A1003,U10021,2025-08-16,,In Progress
T30330,P20021,A1003,U10019,2025-11-07,2025-11-16,Completed
T30331,P20021,A1003,U10021,2025-11-09,,In Progress
T30332,P20021,A1003,U10020,2025-10-25,2025-11-13,Completed
T30333,P20021,A1003,U10019,2025-08-01,2025-08-07,Completed
T30334,P20021,A1003,U10019,2025-11-10,,Open
T30335,P20021,A1003,U10021,2025-11-13,2025-11-23,Completed
T30336,P20021,A1003,U10019,2025-08-14,2025-08-16,Completed
T30337,P20021,A1003,U10020,2025-10-26,2025-11-02,Completed
T30338,P20021,A1003,U10019,2025-09-10,2025-09-22,Completed
T30339,P20021,A1003,U10020,2025-09-30,,Open
T30340,P20022,A1004,U10024,2025-09-20,,In Progress
T30341,P20022,A1004,U10022,2025-12-09,,Open
T30342,P20022,A1004,U10024,2025-10-22,,Open
T30343,P20022,A1004,U10022,2025-10-17,2025-10-22,Completed
T30344,P20023,A1004,U10023,2025-10-16,2025-10-28,Completed
T30345,P20023,A1004,U10022,2026-01-30,,Open
T30346,P20024,A1004,U10022,2025-11-04,2025-11-21,Completed
T30347,P20024,A1004,U10023,2025-12-12,2025-12-29,Completed
T30348,P20024,A1004,U10023,2025-10-09,2025-10-12,Completed
T30349,P20025,A1004,U10022,2025-09-20,,In Progress
T30350,P20025,A1004,U10023,2025-08-05,,Open
T30351,P20025,A1004,U10022,2025-11-02,,Open
T30352,P20025,A1004,U10024,2025-11-01,,In Progress
T30353,P20025,A1004,U10023,2025-08-09,2025-08-12,Completed
T30354,P20026,A1004,U10024,2025-11-07,2025-11-08,Completed
T30355,P20026,A1004,U10023,2026-02-20,,Open
T30356,P20026,A1004,U10023,2026-02-13,,In Progress
T30357,P20026,A1004,U10023,2025-12-04,,In Progress
T30358,P20026,A1004,U10022,2025-11-22,2025-11-28,Completed
T30359,P20026,A1004,U10023,2026-02-19,,Open
T30360,P20026,A1004,U10022,2025-12-27,,Open
T30361,P20026,A1004,U10023,2025-12-23,2026-01-12,Completed
T30362,P20026,A1004,U10022,2026-03-06,,Open
T30363,P20026,A1004,U10022,2026-01-27,2026-01-29,Completed
T30364,P20026,A1004,U10024,2026-01-19,2026-02-06,Completed
T30365,P20026,A1004,U10023,2025-12-09,,In Progress
T30366,P20026,A1004,U10023,2026-03-03,2026-03-05,Completed
T30367,P20026,A1004,U10022,2025-11-08,,In Progress
T30368,P20027,A1004,U10022,2025-08-01,2025-08-07,Completed
T30369,P20027,A1004,U10023,2025-11-16,,Open
T30370,P20027,A1004,U10023,2025-10-14,,Open
T30371,P20027,A1004,U10022,2025-09-18,2025-09-22,Completed
T30372,P20027,A1004,U10023,2025-08-04,,Open
T30373,P20027,A1004,U10023,2025-11-16,,In Progress
T30374,P20027,A1004,U10024,2025-11-09,2025-11-19,Completed
T30375,P20027,A1004,U10022,2025-08-08,,In Progress
T30376,P20027,A1004,U10024,2025-07-29,,In Progress
T30377,P20027,A1004,U10022,2025-11-21,,In Progress
T30378,P20027,A1004,U10023,2025-09-21,,In Progress
T30379,P20027,A1004,U10024,2025-07-30,,In Progress
T30380,P20027,A1004,U10024,2025-08-14,,Open
T30381,P20027,A1004,U10024,2025-11-19,,In Progress
T30382,P20027,A1004,U10023,2025-10-05,,In Progress
T30383,P20027,A1004,U10022,2025-09-17,,Open
T30384,P20027,A1004,U10024,2025-11-06,2025-11-18,Completed
T30385,P20028,A1004,U10022,2025-10-26,2025-10-26,Completed
T30386,P20028,A1004,U10024,2025-10-11,2025-10-24,Completed
T30387,P20028,A1004,U10022,2025-09-15,2025-09-26,Completed
T30388,P20028,A1004,U10022,2025-09-20,2025-09-25,Completed
T30389,P20028,A1004,U10022,2025-09-28,,Open
T30390,P20029,A1004,U10023,2025-11-03,2025-11-17,Completed
T30391,P20029,A1004,U10022,2026-01-20,2026-01-24,Completed
T30392,P20029,A1004,U10022,2025-10-03,,Open
T30393,P20029,A1004,U10023,2025-12-16,,Open
T30394,P20029,A1004,U10022,2025-12-17,2026-01-05,Completed
T30395,P20030,A1005,U10025,2025-09-06,,In Progress
T30396,P20030,A1005,U10026,2025-10-27,2025-11-05,Completed
T30397,P20030,A1005,U10026,2025-10-08,2025-10-21,Completed
T30398,P20030,A1005,U10026,2025-11-26,,In Progress
T30399,P20030,A1005,U10026,2025-10-15,,Open
T30400,P20030,A1005,U10026,2025-10-06,2025-10-07,Completed
T30401,P20030,A1005,U10025,2025-08-17,,In Progress
T30402,P20030,A1005,U10026,2025-09-10,,In Progress
T30403,P20030,A1005,U10026,2025-09-24,2025-09-28,Completed
T30404,P20030,A1005,U10025,2025-09-28,2025-10-04,Completed
T30405,P20030,A1005,U10025,2025-10-27,2025-11-12,Completed
T30406,P20030,A1005,U10026,2025-09-06,2025-09-26,Completed
T30407,P20031,A1005,U10025,2025-11-06,,Open
T30408,P20031,A1005,U10026,2025-10-04,,In Progress
T30409,P20031,A1005,U10025,2025-11-05,2025-11-05,Completed
T30410,P20031,A1005,U10025,2025-09-13,2025-09-24,Completed
T30411,P20031,A1005,U10026,2025-09-26,,Open
T30412,P20031,A1005,U10026,2025-10-04,2025-10-19,Completed
T30413,P20032,A1005,U10026,2025-09-17,,In Progress
T30414,P20032,A1005,U10026,2025-11-28,,Open
T30415,P20032,A1005,U10026,2025-10-15,,Open
T30416,P20032,A1005,U10026,2025-10-07,2025-10-17,Completed
T30417,P20032,A1005,U10025,2025-09-22,,Open
T30418,P20032,A1005,U10026,2025-09-07,2025-09-12,Completed
T30419,P20032,A1005,U10025,2025-08-07,,In Progress
T30420,P20032,A1005,U10026,2025-09-13,2025-10-02,Completed
T30421,P20032,A1005,U10025,2025-09-01,,In Progress
T30422,P20032,A1005,U10026,2025-08-07,,In Progress
T30423,P20032,A1005,U10025,2025-11-26,,Open
T30424,P20033,A1005,U10025,2025-12-04,2025-12-12,Completed
T30425,P20033,A1005,U10026,2025-08-30,2025-09-14,Completed
T30426,P20033,A1005,U10026,2025-10-29,2025-11-09,Completed
T30427,P20033,A1005,U10026,2025-11-29,,In Progress
T30428,P20033,A1005,U10025,2025-11-05,,Open
T30429,P20033,A1005,U10025,2025-09-21,2025-09-26,Completed
T30430,P20034,A1005,U10025,2025-10-18,,In Progress
T30431,P20034,A1005,U10025,2025-11-06,,Open
T30432,P20034,A1005,U10026,2025-12-29,2026-01-05,Completed
T30433,P20034,A1005,U10026,2025-11-09,,Open
T30434,P20034,A1005,U10026,2025-12-13,,In Progress
T30435,P20035,A1005,U10026,2026-01-20,,In Progress
T30436,P20035,A1005,U10026,2026-01-17,,In Progress
T30437,P20035,A1005,U10026,2026-02-02,2026-02-03,Completed
T30438,P20035,A1005,U10025,2026-01-13,,In Progress
T30439,P20035,A1005,U10025,2025-11-05,2025-11-23,Completed
